government|ˈɡʌvərnmənt|n.|政府；统治|The government announced a new policy today.|政府今天宣布了一项新政策。|社会与新闻
society|səˈsaɪəti|n.|社会；社团|Our society values education and fairness.|我们的社会重视教育和公平。|社会与新闻
election|ɪˈlekʃn|n.|选举；选举运动|The national election will happen next month.|全国大选将于下个月举行。|社会与新闻
policy|ˈpɑːləsi|n.|政策；方针|The new policy helps poor families.|新政策帮助贫困家庭。|社会与新闻
law|lɔː|n.|法律；法规|Everyone must obey the law.|每个人都必须遵守法律。|社会与新闻
legal|ˈliːɡl|adj.|合法的；法律的|It is not legal to park here.|在这里停车是不合法的。|社会与新闻
crime|kraɪm|n.|罪，罪行|The police are fighting against crime.|警察正在打击犯罪。|社会与新闻
criminal|ˈkrɪmɪnl|n.|罪犯；犯罪的|The criminal was caught by the police.|罪犯被警察抓住了。|社会与新闻
court|kɔːrt|n.|法庭；法院|The case will go to court tomorrow.|案件明天将开庭审理。|社会与新闻
judge|dʒʌdʒ|n./v.|法官；审判|The judge gave a fair decision.|法官做出了公正的判决。|社会与新闻
justice|ˈdʒʌstɪs|n.|正义；司法|We all want justice for everyone.|我们都希望人人获得正义。|社会与新闻
trial|ˈtraɪəl|n.|审判；试验|The trial will last two weeks.|审判将持续两周。|社会与新闻
evidence|ˈevɪdəns|n.|证据；证词|The police found new evidence today.|警察今天发现了新证据。|社会与新闻
witness|ˈwɪtnəs|n./v.|目击者；见证|The witness spoke to the police.|目击者对警察作了陈述。|社会与新闻
suspect|səˈspekt|n./v.|嫌疑人；怀疑|The suspect was arrested last night.|嫌疑人昨晚被捕。|社会与新闻
arrest|əˈrest|v./n.|逮捕；拘捕|The police arrested the thief quickly.|警察迅速逮捕了小偷。|社会与新闻
prison|ˈprɪzn|n.|监狱；监禁|He was sent to prison for five years.|他被判入狱五年。|社会与新闻
police|pəˈliːs|n.|警察；警方|The police arrived at the scene.|警察到达了现场。|社会与新闻
police officer|pəˈliːs ˈɔːfɪsər|phr.|警官；巡警|The police officer helped the old woman.|警官帮助了那位老妇人。|社会与新闻
security|sɪˈkjʊrəti|n.|安全；治安|Airport security is very strict now.|现在机场安检非常严格。|社会与新闻
safety|ˈseɪfti|n.|安全；平安|Safety is the first priority here.|这里安全是第一位的。|社会与新闻
protest|ˈproʊtest|n./v.|抗议；反对|Thousands joined the protest downtown.|数千人参加了市中心的抗议。|社会与新闻
demonstration|ˌdemənˈstreɪʃn|n.|示威；演示|The demonstration was peaceful and calm.|这场示威是和平而克制的。|社会与新闻
strike|straɪk|n./v.|罢工；打击|The workers went on strike today.|工人们今天举行罢工。|社会与新闻
campaign|kæmˈpeɪn|n.|运动；竞选|The campaign lasted for three months.|这场运动持续了三个月。|社会与新闻
committee|kəˈmɪti|n.|委员会|The committee will meet on Friday.|委员会将在周五开会。|社会与新闻
congress|ˈkɑːŋɡrəs|n.|国会；代表大会|Congress will vote on the bill.|国会将对法案进行表决。|社会与新闻
senate|ˈsenət|n.|参议院|The senate passed the new law.|参议院通过了新法律。|社会与新闻
parliament|ˈpɑːrləmənt|n.|议会；国会|Parliament discussed the tax plan.|议会讨论了这个税收方案。|社会与新闻
politician|ˌpɑːləˈtɪʃn|n.|政治家；政客|The politician gave a public speech.|那位政治家发表了一场公开演讲。|社会与新闻
political|pəˈlɪtɪkl|adj.|政治的|This is a political issue for voters.|这对选民来说是个政治问题。|社会与新闻
president|ˈprezɪdənt|n.|总统；主席|The president addressed the nation.|总统向全国发表了讲话。|社会与新闻
minister|ˈmɪnɪstər|n.|部长；大臣|The minister visited the flooded area.|部长视察了洪灾地区。|社会与新闻
official|əˈfɪʃl|n./adj.|官员；官方的|The local official explained the plan.|当地官员解释了这个计划。|社会与新闻
authority|əˈθɔːrəti|n.|权力；当局|The local authority closed the road.|当地政府封闭了这条路。|社会与新闻
administration|ədˌmɪnɪˈstreɪʃn|n.|管理；行政部门|The new administration changed many rules.|新政府修改了许多规定。|社会与新闻
regulation|ˌreɡjuˈleɪʃn|n.|规章；管理|The new regulation bans smoking here.|新规定禁止在此吸烟。|社会与新闻
rule|ruːl|n./v.|规则；统治|The rule applies to all students.|这条规则适用于所有学生。|社会与新闻
citizen|ˈsɪtɪzn|n.|公民；市民|Every citizen has the right to vote.|每个公民都有投票权。|社会与新闻
public|ˈpʌblɪk|adj./n.|公共的；公众|The park is open to the public.|这个公园向公众开放。|社会与新闻
private|ˈpraɪvət|adj.|私人的；私有的|This is a private conversation.|这是私人谈话。|社会与新闻
social|ˈsoʊʃl|adj.|社会的；社交的|The country faces many social problems.|这个国家面临许多社会问题。|社会与新闻
welfare|ˈwelfer|n.|福利；幸福|The government increased welfare benefits.|政府增加了福利待遇。|社会与新闻
equal|ˈiːkwəl|adj.|平等的；相等的|All people should be treated equally.|所有人都应被平等对待。|社会与新闻
equality|ɪˈkwɑːləti|n.|平等|They are fighting for equality.|他们正在为平等而斗争。|社会与新闻
freedom|ˈfriːdəm|n.|自由|People value freedom of speech.|人们珍视言论自由。|社会与新闻
right|raɪt|n.|权利；右边|Everyone has the right to education.|每个人都有受教育的权利。|社会与新闻
human|ˈhjuːmən|adj./n.|人的；人类|Human rights must be protected.|人权必须得到保护。|社会与新闻
immigration|ˌɪmɪˈɡreɪʃn|n.|移民；移居|Immigration laws were reformed this year.|今年移民法进行了改革。|社会与新闻
refugee|ˌrefjuˈdʒiː|n.|难民|The refugees fled their home country.|难民们逃离了自己的祖国。|社会与新闻
poverty|ˈpɑːvərti|n.|贫穷；贫困|Many families live in deep poverty.|许多家庭生活在极度贫困中。|社会与新闻
unemployment|ˌʌnɪmˈplɔɪmənt|n.|失业|Unemployment rose to a high level.|失业率升到了很高水平。|社会与新闻
economy|ɪˈkɑːnəmi|n.|经济|The economy is growing fast this year.|今年经济增长很快。|社会与新闻
economic|ˌiːkəˈnɑːmɪk|adj.|经济的|Economic growth benefits everyone.|经济增长惠及每个人。|社会与新闻
tax|tæks|n./v.|税；收税|The government cut taxes for families.|政府为家庭减了税。|社会与新闻
budget|ˈbʌdʒɪt|n.|预算|The city budget was approved today.|城市预算今天获批。|社会与新闻
inflation|ɪnˈfleɪʃn|n.|通货膨胀|Inflation is affecting food prices.|通货膨胀正影响食品价格。|社会与新闻
trade|treɪd|n./v.|贸易；交易|International trade benefits both sides.|国际贸易使双方受益。|社会与新闻
foreign|ˈfɔːrən|adj.|外国的；对外的|Foreign visitors enjoy the city.|外国游客喜欢这座城市。|社会与新闻
international|ˌɪntərˈnæʃnəl|adj.|国际的|This is an international conference.|这是一场国际会议。|社会与新闻
country|ˈkʌntri|n.|国家；乡村|Many countries attend the meeting.|许多国家参加了会议。|社会与新闻
nation|ˈneɪʃn|n.|国家；民族|The whole nation celebrated the victory.|举国上下庆祝胜利。|社会与新闻
region|ˈriːdʒən|n.|地区；区域|The region suffered heavy floods.|该地区遭受了严重洪灾。|社会与新闻
city|ˈsɪti|n.|城市|The city has grown very fast.|这座城市发展得非常快。|社会与新闻
community|kəˈmjuːnəti|n.|社区；群体|The community center is near the house.|社区中心就在房子附近。|社会与新闻
neighborhood|ˈneɪbərhʊd|n.|街区；邻里|The neighborhood is safe and quiet.|这个街区安全又安静。|社会与新闻
local|ˈloʊkl|adj.|本地的；当地的|Local news is reported every evening.|每晚都播报本地新闻。|社会与新闻
national|ˈnæʃnəl|adj.|国家的；全国的|It is a national holiday today.|今天是全国性节日。|社会与新闻
state|steɪt|n./v.|州；国家；陈述|The state opened a new hospital.|州里开办了一家新医院。|社会与新闻
media|ˈmiːdiə|n.|媒体；大众传媒|The media reported the story widely.|媒体广泛报道了这个故事。|社会与新闻
press|pres|n./v.|新闻界；按压|The press questioned the spokesman.|新闻界对发言人进行了提问。|社会与新闻
newspaper|ˈnuːzpeɪpər|n.|报纸|I read the newspaper every morning.|我每天早上读报纸。|社会与新闻
magazine|ˈmæɡəziːn|n.|杂志|The magazine covers local politics.|这本杂志报道当地政治。|社会与新闻
news|nuːz|n.|新闻；消息|The news spread very quickly.|这消息传播得很快。|社会与新闻
report|rɪˈpɔːrt|n./v.|报道；报告|The report came out this morning.|这份报道今天上午发布了。|社会与新闻
reporter|rɪˈpɔːrtər|n.|记者|The reporter asked a tough question.|记者提了一个尖锐的问题。|社会与新闻
journalist|ˈdʒɜːrnəlɪst|n.|记者；新闻工作者|The journalist interviewed the mayor.|这位记者采访了市长。|社会与新闻
interview|ˈɪntərvjuː|n./v.|采访；面谈|She gave an interview to the news.|她接受了新闻媒体的采访。|社会与新闻
article|ˈɑːrtɪkl|n.|文章；条款|He wrote an article about the strike.|他写了一篇关于罢工的文章。|社会与新闻
headline|ˈhedlaɪn|n.|标题；头条|The scandal made the headlines.|这起丑闻登上了头条。|社会与新闻
broadcast|ˈbrɔːdkæst|n./v.|广播；播送|The radio broadcast the election results.|电台播报了选举结果。|社会与新闻
channel|ˈtʃænl|n.|频道；渠道|This channel shows news at night.|这个频道夜间播出新闻。|社会与新闻
program|ˈproʊɡræm|n./v.|节目；程序|The program discusses social issues.|这个节目讨论社会问题。|社会与新闻
audience|ˈɔːdiəns|n.|观众；听众|The audience applauded loudly.|观众热烈鼓掌。|社会与新闻
view|vjuː|n./v.|观点；观看|In my view, the policy works well.|在我看来，这项政策运行良好。|社会与新闻
opinion|əˈpɪnjən|n.|意见；看法|Public opinion is changing quickly.|公众舆论正在迅速变化。|社会与新闻
poll|poʊl|n./v.|民意调查；投票|The poll shows increased confidence.|民意调查显示信心增加。|社会与新闻
survey|ˈsɜːrveɪ|n./v.|调查；研究|The survey interviewed one thousand people.|这项调查采访了一千人。|社会与新闻
debate|dɪˈbeɪt|n./v.|辩论；争论|The candidates debated on television.|候选人在电视上进行了辩论。|社会与新闻
discussion|dɪˈskʌʃn|n.|讨论；商议|There was a long discussion about taxes.|对税收进行了长时间的讨论。|社会与新闻
statement|ˈsteɪtmənt|n.|声明；陈述|The mayor made a brief statement.|市长发表了简短声明。|社会与新闻
speech|spiːtʃ|n.|演讲；讲话|Her speech moved many listeners.|她的演讲打动了许多听众。|社会与新闻
announce|əˈnaʊns|v.|宣布；宣告|The company announced a big change.|公司宣布了一项重大变革。|社会与新闻
declare|dɪˈkler|v.|宣布；声明|The judge declared him guilty.|法官宣布他有罪。|社会与新闻
address|əˈdres|n./v.|演讲；地址|The president addressed the reporters.|总统向记者们发表了讲话。|社会与新闻
comment|ˈkɑːment|n./v.|评论；意见|The senator declined to comment.|参议员拒绝发表评论。|社会与新闻
explain|ɪkˈspleɪn|v.|解释；说明|The official explained the new law.|官员解释了新法律。|社会与新闻
discuss|dɪˈskʌs|v.|讨论；商议|We will discuss the issue tomorrow.|我们明天将讨论这个问题。|社会与新闻
argue|ˈɑːrɡjuː|v.|争论；主张|They argued about the new rules.|他们就新规定进行了争论。|社会与新闻
claim|kleɪm|n./v.|声称；主张|The report claims a rise in crime.|报道声称犯罪率上升。|社会与新闻
crisis|ˈkraɪsɪs|n.|危机；紧要关头|The country faced a serious crisis.|这个国家面临一场严重的危机。|社会与新闻
emergency|ɪˈmɜːrdʒənsi|n.|紧急情况；突发事件|Call the police in an emergency.|遇紧急情况请报警。|社会与新闻
disaster|dɪˈzæstər|n.|灾难；灾害|The flood was a terrible disaster.|这场洪水是一场可怕的灾难。|社会与新闻
accident|ˈæksɪdənt|n.|事故；意外|There was a car accident downtown.|市中心发生了一起车祸。|社会与新闻
incident|ˈɪnsɪdənt|n.|事件；变故|The police reported the incident.|警方报告了这一事件。|社会与新闻
tragedy|ˈtrædʒədi|n.|悲剧；惨案|The fire was a terrible tragedy.|这场火灾是一场可怕的悲剧。|社会与新闻
victim|ˈvɪktɪm|n.|受害者；遇难者|The victims received medical help.|受害者得到了医疗救助。|社会与新闻
damage|ˈdæmɪdʒ|n./v.|损害；破坏|The storm caused heavy damage.|风暴造成了严重破坏。|社会与新闻
