however|haʊˈɛvər|adv.|然而；不过|The plan failed; however, we tried.|计划失败了；然而我们努力过。|听力功能词与连接表达
therefore|ˈðɛrfoʊr|adv.|因此；所以|We were tired, therefore we slept.|我们累了，因此我们睡了。|听力功能词与连接表达
thus|ðʌs|adv.|因此；这样|He was busy; thus, he left early.|他很忙；因此他早退了。|听力功能词与连接表达
hence|hɛns|adv.|因此；从此|The road is closed, hence the delay.|道路封闭，因此延误了。|听力功能词与连接表达
consequently|ˈkɑnsəkwɛntli|adv.|因此；结果|It rained; consequently, the game stopped.|下雨了；结果比赛停止了。|听力功能词与连接表达
moreover|mɔrˈoʊvər|adv.|此外；而且|Moreover, the place is very clean.|此外，这个地方非常干净。|听力功能词与连接表达
furthermore|ˌfɜrðərˈmɔr|adv.|此外；而且|Furthermore, he speaks four languages.|此外，他会说四种语言。|听力功能词与连接表达
besides|bɪˈsaɪdz|adv.|此外；也|Besides, we have plenty of time.|此外，我们有大量时间。|听力功能词与连接表达
otherwise|ˈʌðərwaɪz|adv.|否则；另外|Run fast, otherwise you will be late.|跑快点，否则你会迟到。|听力功能词与连接表达
instead|ɪnˈstɛd|adv.|代替；反而|We walked home instead.|我们反而走了回家。|听力功能词与连接表达
rather|ˈræðər|adv.|宁愿；相当|I would rather stay at home.|我宁愿待在家里。|听力功能词与连接表达
whereas|wɛrˈæz|conj.|然而；反之|He is tall whereas she is short.|他高而她矮。|听力功能词与连接表达
although|ɔlˈðoʊ|conj.|虽然；尽管|Although it rained, we went out.|虽然下雨，我们还是出去了。|听力功能词与连接表达
though|ðoʊ|conj.|虽然；即使|Though tired, he kept working.|虽然累，他还是继续工作。|听力功能词与连接表达
while|waɪl|conj.|当；然而|While I cooked, she cleaned.|我做饭时她打扫。|听力功能词与连接表达
meanwhile|ˈminwaɪl|adv.|与此同时|Meanwhile, we prepared dinner.|与此同时，我们准备晚餐。|听力功能词与连接表达
nevertheless|ˌnɛvərðəˈlɛs|adv.|然而；尽管如此|It was hard; nevertheless, we won.|很难；然而我们赢了。|听力功能词与连接表达
nonetheless|ˌnʌnðəˈlɛs|adv.|仍然；不过|Nonetheless, they kept their word.|不过，他们守住了诺言。|听力功能词与连接表达
yet|jɛt|adv.|还；然而|The train has not arrived yet.|火车还没到。|听力功能词与连接表达
still|stɪl|adv.|仍然；还是|He is still waiting outside.|他还在外面等着。|听力功能词与连接表达
