bus|bʌs|n.|公共汽车|I take the bus to work every day.|我每天坐公共汽车上班。|城市交通与公共服务
subway|ˈsʌbweɪ|n.|地铁|The subway is faster than the bus.|地铁比公交车快。|城市交通与公共服务
metro|ˈmɛtroʊ|n.|地铁|Take the metro to the city center.|乘地铁去市中心。|城市交通与公共服务
tram|træm|n.|有轨电车|The tram runs along the river.|有轨电车沿河行驶。|城市交通与公共服务
taxi|ˈtæksi|n.|出租车|Let's take a taxi to the airport.|我们打车去机场吧。|城市交通与公共服务
cab|kæb|n.|出租车|I called a cab for the meeting.|我为会议叫了出租车。|城市交通与公共服务
fare|fɛr|n.|车费|How much is the bus fare?|公交车费是多少？|城市交通与公共服务
ticket|ˈtɪkɪt|n.|票|I bought a ticket for the train.|我买了一张火车票。|城市交通与公共服务
platform|ˈplætfɔrm|n.|站台|The train leaves from platform three.|火车从三号站台出发。|城市交通与公共服务
station|ˈsteɪʃən|n.|车站|Please wait at the bus station.|请在公交车站等候。|城市交通与公共服务
transfer|trænsˈfɜr|v.|换乘|You must transfer at the next stop.|你必须在下一站换乘。|城市交通与公共服务
route|rut|n.|路线|This bus route goes downtown.|这条公交线路通往市中心。|城市交通与公共服务
schedule|ˈskɛdʒul|n.|时刻表|Check the bus schedule online.|在网上查看公交时刻表。|城市交通与公共服务
commute|kəˈmjut|v.|通勤|She commutes to work by train.|她乘火车通勤上班。|城市交通与公共服务
passenger|ˈpæsəndʒər|n.|乘客|The bus was full of passengers.|公交车载满了乘客。|城市交通与公共服务
driver|ˈdraɪvər|n.|司机|The driver stopped at the red light.|司机在红灯处停下。|城市交通与公共服务
vehicle|ˈviɪkəl|n.|车辆|The vehicle is parked illegally.|这辆车违章停放。|城市交通与公共服务
traffic|ˈtræfɪk|n.|交通|The traffic is heavy this morning.|今天早上交通很拥堵。|城市交通与公共服务
transit|ˈtrænsɪt|n.|公共交通|Public transit is cheap and fast.|公共交通便宜又快捷。|城市交通与公共服务
shelter|ˈʃɛltər|n.|候车亭|We waited in the bus shelter.|我们在候车亭里等候。|城市交通与公共服务
bus stop|bʌs stɑp|phr.|公交站|Wait for me at the bus stop.|在公交站等我。|城市交通与公共服务
bus station|bʌs ˈsteɪʃən|phr.|公交总站|The bus station is crowded today.|今天公交总站很拥挤。|城市交通与公共服务
subway station|ˈsʌbweɪ ˈsteɪʃən|phr.|地铁站|Meet me at the subway station.|在地铁站见我。|城市交通与公共服务
