excited|ɪkˈsaɪtɪd|adj.|兴奋的；激动的|I'm so excited about the trip.|我对这次旅行很兴奋。|情感态度与人物描述
anxious|ˈæŋkʃəs|adj.|焦虑的；担心的|She felt anxious before the test.|考试前她很焦虑。|情感态度与人物描述
nervous|ˈnɜːrvəs|adj.|紧张的；神经质的|He is nervous about public speaking.|他对公开演讲感到紧张。|情感态度与人物描述
delighted|dɪˈlaɪtɪd|adj.|高兴的；喜悦的|We are delighted to hear that.|听到那个我们很高兴。|情感态度与人物描述
disappointed|ˌdɪsəˈpɔɪntɪd|adj.|失望的；沮丧的|I was disappointed with the result.|我对结果很失望。|情感态度与人物描述
frustrated|ˈfrʌstreɪtɪd|adj.|挫败的；沮丧的|She felt frustrated with her job.|她对工作感到沮丧。|情感态度与人物描述
relieved|rɪˈliːvd|adj.|宽慰的；释然的|He was relieved to finish early.|他提前完成感到释然。|情感态度与人物描述
terrified|ˈterəfaɪd|adj.|恐惧的；惊恐的|The child is terrified of dogs.|这小孩很怕狗。|情感态度与人物描述
thrilled|θrɪld|adj.|兴奋的；激动的|We were thrilled by the news.|我们听到消息很激动。|情感态度与人物描述
upset|ʌpˈset|adj.|心烦的；难过的|She got upset about the mistake.|她因那个错误而心烦。|情感态度与人物描述
content|kənˈtent|adj.|满足的；满意的|He is content with simple life.|他对简单生活很满足。|情感态度与人物描述
miserable|ˈmɪzərəbl|adj.|痛苦的；悲惨的|The weather made us miserable.|天气让我们难受。|情感态度与人物描述
joyful|ˈdʒɔɪfl|adj.|欢乐的；喜悦的|It was a joyful celebration.|那是一场欢乐的庆祝。|情感态度与人物描述
annoyed|əˈnɔɪd|adj.|恼怒的；烦恼的|I was annoyed by the noise.|我被噪音惹恼了。|情感态度与人物描述
furious|ˈfjʊrɪəs|adj.|狂怒的；暴怒的|She was furious at his lie.|她对他的谎言极为愤怒。|情感态度与人物描述
gloomy|ˈɡluːmi|adj.|忧郁的；阴沉的|He felt gloomy on a rainy day.|雨天他感到忧郁。|情感态度与人物描述
ecstatic|ɪkˈstætɪk|adj.|狂喜的；极兴奋的|Fans were ecstatic after the win.|球迷们赢球后狂喜。|情感态度与人物描述
envious|ˈenviəs|adj.|嫉妒的；羡慕的|She felt envious of her friend.|她羡慕她的朋友。|情感态度与人物描述
embarrassed|ɪmˈbærəst|adj.|尴尬的；难为情的|He was embarrassed by the question.|他被那个问题弄得难为情。|情感态度与人物描述
ashamed|əˈʃeɪmd|adj.|羞愧的；惭愧的|I felt ashamed for being late.|我为迟到感到惭愧。|情感态度与人物描述
proud|praʊd|adj.|自豪的；骄傲的|They are proud of their son.|他们为儿子感到自豪。|情感态度与人物描述
grateful|ˈɡreɪtfl|adj.|感激的；感谢的|I'm grateful for your help.|我感激你的帮助。|情感态度与人物描述
overwhelmed|ˌoʊvərˈwelmd|adj.|不知所措的；被压倒的|She was overwhelmed by the tasks.|她被任务压得不知所措。|情感态度与人物描述
cheerful|ˈtʃɪrfl|adj.|快乐的；高兴的|He always keeps a cheerful mood.|他总是保持愉快的心情。|情感态度与人物描述
uneasy|ʌnˈiːzi|adj.|不安的；忧虑的|He felt uneasy about the deal.|他对这笔交易感到不安。|情感态度与人物描述
calm|kɑːm|adj.|平静的；镇定的|Try to stay calm during the exam.|考试时尽量保持冷静。|情感态度与人物描述
lonely|ˈloʊnli|adj.|孤独的；寂寞的|She felt lonely in the city.|她在城市里感到孤独。|情感态度与人物描述
scared|skerd|adj.|害怕的；恐惧的|I'm scared of the dark.|我害怕黑暗。|情感态度与人物描述
bored|bɔːrd|adj.|厌倦的；无聊的|He was bored with the lecture.|他厌倦了这个讲座。|情感态度与人物描述
curious|ˈkjʊriəs|adj.|好奇的；稀奇古怪的|Kids are curious about everything.|孩子们对一切都很好奇。|情感态度与人物描述
shocked|ʃɑːkt|adj.|震惊的；惊讶的|She was shocked by the truth.|她被真相震惊了。|情感态度与人物描述
touched|tʌtʃt|adj.|受感动的；被感动的|I was touched by her kindness.|我被她的善良感动了。|情感态度与人物描述
hopeful|ˈhoʊpfl|adj.|抱有希望的；乐观的|We are hopeful about the future.|我们对未来怀有希望。|情感态度与人物描述
pessimistic|ˌpesɪˈmɪstɪk|adj.|悲观的；消极的|He is pessimistic about the plan.|他对这个计划感到悲观。|情感态度与人物描述
optimistic|ˌɑːptɪˈmɪstɪk|adj.|乐观的；积极的|She remains optimistic despite losses.|尽管亏损她仍保持乐观。|情感态度与人物描述
confused|kənˈfjuːzd|adj.|困惑的；糊涂的|The instructions left me confused.|这些说明让我困惑。|情感态度与人物描述
doubtful|ˈdaʊtfl|adj.|怀疑的；不确定的|I'm doubtful about his promise.|我对他的承诺感到怀疑。|情感态度与人物描述
depressed|dɪˈprest|adj.|沮丧的；抑郁的|He felt depressed after losing.|输掉后他很沮丧。|情感态度与人物描述
regretful|rɪˈɡretfl|adj.|后悔的；遗憾的|She was regretful about her words.|她为自己的话后悔。|情感态度与人物描述
sympathetic|ˌsɪmpəˈθetɪk|adj.|同情的；赞同的|She was sympathetic to my loss.|她对我的损失表示同情。|情感态度与人物描述
indifferent|ɪnˈdɪfrənt|adj.|漠不关心的；冷淡的|He was indifferent to the criticism.|他对批评漠不关心。|情感态度与人物描述
enthusiastic|ɪnˌθuːziˈæstɪk|adj.|热情的；热心的|They are enthusiastic about the project.|他们对这个项目很热情。|情感态度与人物描述
amazed|əˈmeɪzd|adj.|惊讶的；惊奇的|We were amazed at her talent.|我们对她的才能感到惊奇。|情感态度与人物描述
astonished|əˈstɑːnɪʃt|adj.|吃惊的；惊愕的|I was astonished by the news.|我被这个消息惊到了。|情感态度与人物描述
desperate|ˈdespərət|adj.|绝望的；渴望的|He was desperate for a job.|他渴望得到一份工作。|情感态度与人物描述
concerned|kənˈsɜːrnd|adj.|担忧的；关心的|Parents are concerned about safety.|父母们担心安全问题。|情感态度与人物描述
alarmed|əˈlɑːrmd|adj.|惊恐的；担忧的|We were alarmed by the fire.|我们被大火吓到了。|情感态度与人物描述
frightened|ˈfraɪtnd|adj.|受惊的；害怕的|The kid felt frightened alone.|这孩子独自一人很害怕。|情感态度与人物描述
surprised|sərˈpraɪzd|adj.|惊讶的；意外的|I was surprised by her answer.|我对她的回答感到惊讶。|情感态度与人物描述
irritated|ˈɪrɪteɪtɪd|adj.|恼怒的；烦躁的|He got irritated by the delay.|他被延误惹恼了。|情感态度与人物描述
angry|ˈæŋɡri|adj.|生气的；愤怒的|Don't be angry with me.|别生我的气。|情感态度与人物描述
sad|sæd|adj.|悲伤的；难过的|She felt sad on her birthday.|生日那天她很伤心。|情感态度与人物描述
happy|ˈhæpi|adj.|快乐的；幸福的|They have a happy family.|他们有一个幸福的家庭。|情感态度与人物描述
cross|krɔːs|adj.|生气的；恼怒的|Mum was cross with me.|妈妈在生我的气。|情感态度与人物描述
moody|ˈmuːdi|adj.|情绪多变的；喜怒无常的|He is moody in the morning.|他早上情绪多变。|情感态度与人物描述
sentimental|ˌsentɪˈmentl|adj.|多愁善感的；感性的|She is sentimental about old gifts.|她对旧礼物很感伤。|情感态度与人物描述
emotional|ɪˈmoʊʃənl|adj.|情绪的；易动感情的|It was an emotional farewell.|那是一场充满感情的告别。|情感态度与人物描述
passionate|ˈpæʃənət|adj.|热情的；激情的|He is passionate about music.|他对音乐充满热情。|情感态度与人物描述
jealous|ˈdʒeləs|adj.|嫉妒的；吃醋的|She was jealous of her sister.|她嫉妒她的姐姐。|情感态度与人物描述
satisfied|ˈsætɪsfaɪd|adj.|满意的；满足的|We are satisfied with the result.|我们对结果感到满意。|情感态度与人物描述
panic|ˈpænɪk|n.|恐慌；惊慌|Panic spread through the crowd.|恐慌在人群中蔓延。|情感态度与人物描述
envy|ˈenvi|n.|嫉妒；羡慕|His success filled me with envy.|他的成功让我羡慕。|情感态度与人物描述
delight|dɪˈlaɪt|n.|高兴；欣喜|The kids giggled with delight.|孩子们高兴地咯咯笑。|情感态度与人物描述
joy|dʒɔɪ|n.|欢乐；喜悦|Her eyes shone with joy.|她的眼睛闪耀着喜悦。|情感态度与人物描述
sorrow|ˈsɑːroʊ|n.|悲伤；悲痛|She shared her sorrow with us.|她向我们倾诉悲伤。|情感态度与人物描述
grief|ɡriːf|n.|悲痛；哀伤|He was filled with grief.|他心中充满悲痛。|情感态度与人物描述
rage|reɪdʒ|n.|愤怒；狂怒|She shook with rage.|她气得发抖。|情感态度与人物描述
astonishment|əˈstɑːnɪʃmənt|n.|惊愕；惊讶|They stared in astonishment.|他们惊愕地凝视。|情感态度与人物描述
contentment|kənˈtentmənt|n.|满足；满意|He found contentment in reading.|他在阅读中找到满足。|情感态度与人物描述
enthusiasm|ɪnˈθuːziæzəm|n.|热情；热忱|Her enthusiasm inspires the team.|她的热情鼓舞了团队。|情感态度与人物描述
anxiety|æŋˈzaɪəti|n.|焦虑；担忧|Anxiety kept him awake.|焦虑使他难以入睡。|情感态度与人物描述
curiosity|ˌkjʊriˈɑːsəti|n.|好奇心；求知欲|Curiosity led him to explore.|好奇心引导他去探索。|情感态度与人物描述
disappointment|ˌdɪsəˈpɔɪntmənt|n.|失望；沮丧|He hid his disappointment well.|他很好地掩饰了失望。|情感态度与人物描述
frustration|frʌˈstreɪʃn|n.|挫败；挫折|She cried out of frustration.|她因挫败而哭泣。|情感态度与人物描述
relief|rɪˈliːf|n.|宽慰；缓解|We sighed with relief.|我们宽慰地松了口气。|情感态度与人物描述
confusion|kənˈfjuːʒn|n.|困惑；混乱|The map caused much confusion.|这地图引起很多困惑。|情感态度与人物描述
pride|praɪd|n.|自豪；骄傲|She takes pride in her work.|她为自己的工作自豪。|情感态度与人物描述
shame|ʃeɪm|n.|羞愧；可惜|He felt shame for his act.|他为自己的行为感到羞愧。|情感态度与人物描述
courage|ˈkɜːrɪdʒ|n.|勇气；胆量|It takes courage to speak up.|大胆说出来需要勇气。|情感态度与人物描述
fear|fɪr|n.|恐惧；害怕|Fear stopped him from going.|恐惧使他不敢去。|情感态度与人物描述
sympathy|ˈsɪmpəθi|n.|同情；赞同|We have sympathy for her loss.|我们对她的损失深表同情。|情感态度与人物描述
gratitude|ˈɡrætɪtuːd|n.|感激；感恩|She expressed her gratitude warmly.|她热情地表达了感激。|情感态度与人物描述
inspiration|ˌɪnspəˈreɪʃn|n.|灵感；鼓舞|The book was a great inspiration.|这本书给了我很大鼓舞。|情感态度与人物描述
motivation|ˌmoʊtɪˈveɪʃn|n.|动机；积极性|Money is not his motivation.|金钱不是他的动机。|情感态度与人物描述
confidence|ˈkɑːnfɪdəns|n.|信心；自信|She spoke with great confidence.|她说话非常有自信。|情感态度与人物描述
ambition|æmˈbɪʃn|n.|雄心；抱负|His ambition is to lead.|他的抱负是成为领导者。|情感态度与人物描述
attitude|ˈætɪtuːd|n.|态度；看法|A positive attitude helps a lot.|积极的态度很有帮助。|情感态度与人物描述
opinion|əˈpɪnjən|n.|意见；观点|In my opinion, we should wait.|依我看，我们应该等。|情感态度与人物描述
view|vjuː|n.|观点；看法|What's your view on this?|你对这个有什么看法？|情感态度与人物描述
suggestion|səˈdʒestʃən|n.|建议；提议|She made a good suggestion.|她提了一个好建议。|情感态度与人物描述
approval|əˈpruːvl|n.|批准；赞成|He nodded in approval.|他点头表示赞成。|情感态度与人物描述
objection|əbˈdʒekʃn|n.|反对；异议|She raised no objection to the plan.|她没有反对这个计划。|情感态度与人物描述
criticism|ˈkrɪtɪsɪzəm|n.|批评；指责|He accepted the criticism calmly.|他平静地接受批评。|情感态度与人物描述
praise|preɪz|n.|赞扬；称赞|The teacher gave her praise.|老师表扬了她。|情感态度与人物描述
compliment|ˈkɑːmplɪmənt|n.|恭维；赞美|She paid him a nice compliment.|她好好地夸赞了他。|情感态度与人物描述
insult|ˈɪnsʌlt|n.|侮辱；辱骂|That remark was a real insult.|那番话真是一种侮辱。|情感态度与人物描述
reputation|ˌrepjuˈteɪʃn|n.|名声；声誉|He has a good reputation.|他名声很好。|情感态度与人物描述
judgment|ˈdʒʌdʒmənt|n.|判断；评价|Trust your own judgment.|相信你自己的判断。|情感态度与人物描述
debate|dɪˈbeɪt|n.|辩论；争论|The debate got very heated.|辩论变得非常激烈。|情感态度与人物描述
reaction|riˈækʃn|n.|反应；回应|Her reaction surprised everyone.|她的反应让大家惊讶。|情感态度与人物描述
agree|əˈɡriː|v.|同意；赞成|I agree with your plan.|我同意你的计划。|情感态度与人物描述
disagree|ˌdɪsəˈɡriː|v.|不同意；有分歧|I disagree with that view.|我不同意那个观点。|情感态度与人物描述
approve|əˈpruːv|v.|赞成；批准|My parents approve of my choice.|我父母赞成我的选择。|情感态度与人物描述
oppose|əˈpoʊz|v.|反对；对抗|They oppose the new policy.|他们反对新政策。|情感态度与人物描述
support|səˈpɔːrt|v.|支持；支撑|We support this decision fully.|我们完全支持这个决定。|情感态度与人物描述
doubt|daʊt|v.|怀疑；疑惑|I doubt what he said.|我怀疑他说的话。|情感态度与人物描述
believe|bɪˈliːv|v.|相信；认为|I believe you are right.|我相信你是对的。|情感态度与人物描述
suppose|səˈpoʊz|v.|假设；猜想|I suppose he will come.|我猜想他会来。|情感态度与人物描述
assume|əˈsuːm|v.|假定；认为|Let's assume she is honest.|让我们假定她是诚实的。|情感态度与人物描述
suspect|səˈspekt|v.|怀疑；猜想|I suspect he is lying.|我怀疑他在撒谎。|情感态度与人物描述
recommend|ˌrekəˈmend|v.|推荐；建议|I recommend this book to you.|我向你推荐这本书。|情感态度与人物描述
persuade|pərˈsweɪd|v.|说服；劝说|He persuaded me to stay.|他说服我留下。|情感态度与人物描述
convince|kənˈvɪns|v.|使信服；说服|She convinced me it was true.|她让我相信这是真的。|情感态度与人物描述
criticize|ˈkrɪtɪsaɪz|v.|批评；指责|Don't criticize me too harshly.|别太苛刻地批评我。|情感态度与人物描述
blame|bleɪm|v.|责备；归咎于|We blame him for the failure.|我们把失败归咎于他。|情感态度与人物描述
appreciate|əˈpriːʃieɪt|v.|感激；欣赏|I appreciate your help today.|我感激你今天的帮助。|情感态度与人物描述
admire|ədˈmaɪr|v.|钦佩；欣赏|I admire her courage greatly.|我非常钦佩她的勇气。|情感态度与人物描述
respect|rɪˈspekt|v.|尊重；尊敬|We should respect each other.|我们应该互相尊重。|情感态度与人物描述
despise|dɪˈspaɪz|v.|鄙视；轻视|He despises such dishonest acts.|他鄙视这类不诚实的行为。|情感态度与人物描述
underestimate|ˌʌndərˈestɪmeɪt|v.|低估；看轻|Don't underestimate your opponent.|别低估你的对手。|情感态度与人物描述
overestimate|ˌoʊvərˈestɪmeɪt|v.|高估；过高评价|Never overestimate your strength.|永远不要高估你的力量。|情感态度与人物描述
emphasize|ˈemfəsaɪz|v.|强调；着重|She emphasized the main point.|她强调了这个要点。|情感态度与人物描述
conclude|kənˈkluːd|v.|得出结论；推断|We concluded the plan was good.|我们断定这个计划很好。|情感态度与人物描述
assert|əˈsɜːrt|v.|断言；声称|He asserted his innocence firmly.|他坚定地声称自己无辜。|情感态度与人物描述
claim|kleɪm|v.|声称；主张|She claims the story is true.|她声称这个说法是真的。|情感态度与人物描述
confirm|kənˈfɜːrm|v.|确认；证实|Please confirm your reservation.|请确认你的预订。|情感态度与人物描述
deny|dɪˈnaɪ|v.|否认；拒绝|He denied taking the money.|他否认拿了钱。|情感态度与人物描述
complain|kəmˈpleɪn|v.|抱怨；投诉|She always complains about work.|她总是抱怨工作。|情感态度与人物描述
reject|rɪˈdʒekt|v.|拒绝；驳回|They rejected my application.|他们拒绝了我的申请。|情感态度与人物描述
accept|əkˈsept|v.|接受；同意|I accept your kind offer.|我接受你的好意。|情感态度与人物描述
tolerate|ˈtɑːləreɪt|v.|容忍；忍受|He cannot tolerate any noise.|他无法容忍任何噪音。|情感态度与人物描述
prefer|prɪˈfɜːr|v.|更喜欢；宁愿|I prefer tea over coffee.|比起咖啡我更喜欢茶。|情感态度与人物描述
regard|rɪˈɡɑːrd|v.|认为；看待|We regard him as a leader.|我们把他视为领导者。|情感态度与人物描述
consider|kənˈsɪdər|v.|考虑；认为|Consider all the facts first.|先考虑所有事实。|情感态度与人物描述
evaluate|ɪˈvæljueɪt|v.|评估；评价|We must evaluate the risk.|我们必须评估风险。|情感态度与人物描述
judge|dʒʌdʒ|v.|判断；评判|Don't judge people too quickly.|不要过快评判他人。|情感态度与人物描述
admit|ədˈmɪt|v.|承认；准许进入|He admitted his mistake honestly.|他诚实地承认了错误。|情感态度与人物描述
acknowledge|əkˈnɑːlɪdʒ|v.|承认；致谢|She acknowledged her error at once.|她立刻承认了自己的错误。|情感态度与人物描述
confess|kənˈfes|v.|坦白；承认|He confessed his true feelings.|他坦白了自己的真实感情。|情感态度与人物描述
insist|ɪnˈsɪst|v.|坚持；坚决要求|She insists on coming early.|她坚持早来。|情感态度与人物描述
guarantee|ˌɡærənˈtiː|v.|保证；担保|I guarantee you will succeed.|我保证你会成功。|情感态度与人物描述
promise|ˈprɑːmɪs|v.|承诺；答应|He promised to come back.|他承诺会回来。|情感态度与人物描述
warn|wɔːrn|v.|警告；提醒|They warned us of the danger.|他们警告我们注意危险。|情感态度与人物描述
remind|rɪˈmaɪnd|v.|提醒；使想起|Please remind me of the meeting.|请提醒我开会的事。|情感态度与人物描述
encourage|ɪnˈkɜːrɪdʒ|v.|鼓励；激励|She encouraged me to try again.|她鼓励我再试一次。|情感态度与人物描述
discourage|dɪsˈkɜːrɪdʒ|v.|使气馁；劝阻|Don't let failure discourage you.|别让失败使你气馁。|情感态度与人物描述
reassure|ˌriːəˈʃʊr|v.|使安心；安慰|He reassured me about the test.|他让我对测试放心。|情感态度与人物描述
comfort|ˈkʌmfərt|v.|安慰；使舒适|She comforted the crying child.|她安抚哭泣的孩子。|情感态度与人物描述
console|kənˈsoʊl|v.|安慰；慰藉|He tried to console his friend.|他试图安慰他的朋友。|情感态度与人物描述
condemn|kənˈdem|v.|谴责；判罪|We condemn all violent acts.|我们谴责所有暴力行为。|情感态度与人物描述
confident|ˈkɑːnfɪdənt|adj.|自信的；有信心的|She is confident about her skills.|她对自己的技能很有信心。|情感态度与人物描述
modest|ˈmɑːdɪst|adj.|谦虚的；适度的|He is modest about his success.|他对自己的成功很谦虚。|情感态度与人物描述
arrogant|ˈærəɡənt|adj.|傲慢的；自大的|His arrogant tone annoyed me.|他傲慢的语气惹恼了我。|情感态度与人物描述
honest|ˈɑːnɪst|adj.|诚实的；正直的|She is honest in all things.|她在所有事情上都诚实。|情感态度与人物描述
sincere|sɪnˈsɪr|adj.|真诚的；诚挚的|He gave a sincere apology.|他真诚地道了歉。|情感态度与人物描述
reliable|rɪˈlaɪəbl|adj.|可靠的；可信赖的|He is a reliable teammate.|他是一个可靠的队友。|情感态度与人物描述
responsible|rɪˈspɑːnsəbl|adj.|负责的；可靠的|She is responsible for the plan.|她负责这个计划。|情感态度与人物描述
ambitious|æmˈbɪʃəs|adj.|有雄心的；有抱负的|He is ambitious and hardworking.|他有抱负又勤奋。|情感态度与人物描述
lazy|ˈleɪzi|adj.|懒惰的；懒散的|He is too lazy to exercise.|他太懒了而不去锻炼。|情感态度与人物描述
diligent|ˈdɪlɪdʒənt|adj.|勤奋的；用功的|She is a diligent student.|她是一个勤奋的学生。|情感态度与人物描述
hardworking|ˌhɑːrdˈwɜːrkɪŋ|adj.|辛勤的；努力工作的|These hardworking farmers work all day.|这些勤劳的农民整天劳作。|情感态度与人物描述
stubborn|ˈstʌbərn|adj.|固执的；顽固的|He is stubborn about his idea.|他对自己的想法很固执。|情感态度与人物描述
flexible|ˈfleksəbl|adj.|灵活的；可变通的|She is flexible about work hours.|她对工作时间很灵活。|情感态度与人物描述
adaptable|əˈdæptəbl|adj.|适应性强的；能适应的|Children are highly adaptable to change.|孩子们对变化适应能力很强。|情感态度与人物描述
