internet|ˈɪntərnet|n.|互联网；因特网|The internet connects people everywhere.|互联网把世界各地的人们连接起来。|科技与经济
website|ˈweb.saɪt|n.|网站|I found this website very useful.|我发现这个网站非常有用。|科技与经济
online|ˌɑːnˈlaɪn|adj.|在线的；联网的|I do shopping online a lot.|我经常在网上购物。|科技与经济
download|ˌdaʊnˈloʊd|v.|下载|Please download the app first.|请先下载这个应用。|科技与经济
upload|ˌʌpˈloʊd|v.|上传|You can upload your photo here.|你可以在这里上传照片。|科技与经济
software|ˈsɔːftwer|n.|软件|This software is easy to use.|这个软件很容易使用。|科技与经济
hardware|ˈhɑːrdwer|n.|硬件|The hardware needs an update.|硬件需要更新。|科技与经济
device|dɪˈvaɪs|n.|设备；装置|This device works very well.|这个设备运行得很好。|科技与经济
application|ˌæplɪˈkeɪʃn|n.|应用程序；申请|This application saves me time.|这个应用帮我节省时间。|科技与经济
laptop|ˈlæptɑːp|n.|笔记本电脑|I need a new laptop.|我需要一台新笔记本电脑。|科技与经济
password|ˈpæswɜːrd|n.|密码|Please set a strong password.|请设置一个强密码。|科技与经济
account|əˈkaʊnt|n.|账户；账号|I created a new account today.|我今天创建了一个新账户。|科技与经济
log in|lɔːɡ ɪn|phr.|登录|Please log in to your account.|请登录你的账户。|科技与经济
digital|ˈdɪdʒɪtl|adj.|数字的；数码的|We live in a digital age.|我们生活在数字时代。|科技与经济
technology|tekˈnɑːlədʒi|n.|科技；技术|Technology changes our daily life.|科技改变了我们的日常生活。|科技与经济
network|ˈnetwɜːrk|n.|网络；人脉网|The network is too slow.|网络太慢了。|科技与经济
search|sɜːrtʃ|v.|搜索；搜寻|I will search for the answer.|我将搜索答案。|科技与经济
browser|ˈbraʊzər|n.|浏览器|Open a new browser window.|打开一个新的浏览器窗口。|科技与经济
screen|skriːn|n.|屏幕；显示屏|The screen is too bright.|屏幕太亮了。|科技与经济
battery|ˈbætəri|n.|电池|My battery is running low.|我的电池快没电了。|科技与经济
camera|ˈkæmərə|n.|相机；摄像头|This camera takes great photos.|这台相机拍的照片很棒。|科技与经济
update|ˈʌp.deɪt|v.|更新；升级|I need to update my phone.|我需要更新我的手机。|科技与经济
version|ˈvɜːrʒn|n.|版本|This is the latest version.|这是最新版本。|科技与经济
system|ˈsɪstəm|n.|系统；体系|The computer system crashed again.|电脑系统又崩溃了。|科技与经济
feature|ˈfiːtʃər|n.|功能；特点|The new feature is amazing.|这个新功能很棒。|科技与经济
