curriculum|ˈkɜrɪkjələm|n.|课程体系；全部课程|The school offers a broad curriculum.|学校提供广泛的课程体系。|校园与学习
semester|səˈmɛstər|n.|学期；半学年|The semester begins in September.|学期在九月开始。|校园与学习
schedule|ˈskɛdʒul|n./v.|时间表；安排|Check your class schedule online.|在网上查看你的课程时间表。|校园与学习
lecture|ˈlɛktʃər|n./v.|讲座；讲课|The lecture lasts two hours.|讲座持续两个小时。|校园与学习
seminar|ˈsɛmənɑr|n.|研讨会；研讨课|We discuss papers in the seminar.|我们在研讨课上讨论论文。|校园与学习
tutorial|tuˈtɔriəl|n.|辅导课；教程|The tutorial is on Thursday morning.|辅导课在周四上午。|校园与学习
enrollment|ɪnˈroʊlmənt|n.|注册；入学人数|Enrollment opens on the first day.|注册在第一天开放。|校园与学习
prerequisite|prɪˈrɛkwəzɪt|n.|先修课程；前提条件|Physics is a prerequisite for this class.|物理是这门课的先修课程。|校园与学习
elective|ɪˈlɛktɪv|n./adj.|选修课；选修的|She picked an art elective this year.|她今年选了一门艺术选修课。|校园与学习
compulsory|kəmˈpʌlsəri|adj.|必修的；强制的|English is a compulsory subject here.|英语在这里是必修科目。|校园与学习
credit|ˈkrɛdɪt|n.|学分；信用|I need three more credits to graduate.|我还需要三个学分才能毕业。|校园与学习
major|ˈmeɪdʒər|n./v.|专业；主修|My major is computer science.|我的专业是计算机科学。|校园与学习
minor|ˈmaɪnər|n./adj.|辅修科目；次要的|He has a minor in economics.|他辅修经济学。|校园与学习
degree|dɪˈɡri|n.|学位；程度|She earned a master's degree.|她获得了硕士学位。|校园与学习
diploma|dɪˈploʊmə|n.|文凭；毕业证书|He received his diploma today.|他今天领到了毕业文凭。|校园与学习
transcript|ˈtrænskrɪpt|n.|成绩单；文字记录|Please submit your transcript for review.|请提交你的成绩单供审核。|校园与学习
syllabus|ˈsɪləbəs|n.|教学大纲|The syllabus lists all reading tasks.|教学大纲列出了所有阅读任务。|校园与学习
