restaurant|ˈrestrɑːnt|n.|餐馆；饭店|Let's grab lunch at that new restaurant.|我们去那家新餐馆吃午饭吧。|日常生活
appointment|əˈpɔɪntmənt|n.|预约；约会|I have a doctor's appointment this afternoon.|我今天下午有个医生预约。|日常生活
medicine|ˈmedɪsn|n.|药；医学|Take this medicine after each meal.|每餐后服用这种药。|日常生活
pharmacy|ˈfɑːrməsi|n.|药房；药店|The pharmacy is open till nine.|药店营业到九点。|日常生活
symptom|ˈsɪmptəm|n.|症状；征兆|A headache is a common symptom.|头痛是一种常见症状。|日常生活
prescription|prɪˈskrɪpʃn|n.|处方；药方|The doctor wrote me a prescription.|医生给我开了处方。|日常生活
temperature|ˈtemprətʃər|n.|体温；温度|Check your temperature this morning.|今天早上量一下你的体温。|日常生活
fever|ˈfiːvər|n.|发烧；发热|She has a slight fever today.|她今天有点发烧。|日常生活
insurance|ɪnˈʃʊrəns|n.|保险；保险金|My insurance covers most costs.|我的保险覆盖大部分费用。|日常生活
emergency|ɪˈmɜːrdʒənsi|n.|紧急情况|Call me if there is an emergency.|如果有紧急情况就打电话给我。|日常生活
subway|ˈsʌbweɪ|n.|地铁；地铁列车|Take the subway to get downtown.|坐地铁去市中心。|日常生活
traffic|ˈtræfɪk|n.|交通；车流|The traffic is heavy right now.|现在交通很拥堵。|日常生活
ticket|ˈtɪkɪt|n.|票；车票|I bought a one-way ticket.|我买了一张单程票。|日常生活
platform|ˈplætfɔːrm|n.|站台；平台|The train leaves from platform two.|火车从二号站台出发。|日常生活
transfer|trænsˈfɜːr|v.|换乘；转移|You need to transfer at the next stop.|你需要在下一站换乘。|日常生活
convenient|kənˈviːniənt|adj.|方便的；便利的|This bus is very convenient for us.|这趟车对我们很方便。|日常生活
passenger|ˈpæsɪndʒər|n.|乘客；旅客|Passengers should stay behind the line.|乘客应站在线后。|日常生活
luggage|ˈlʌɡɪdʒ|n.|行李；行李|Put your luggage in the overhead bin.|把行李放到头顶行李架上。|日常生活
departure|dɪˈpɑːrtʃər|n.|出发；离开|The departure time is nine thirty.|出发时间是九点三十分。|日常生活
arrival|əˈraɪvl|n.|到达；抵达|Please check the arrival time first.|请先查看到达时间。|日常生活
schedule|ˈskedʒuːl|n.|时间表；日程|The train schedule changed today.|今天的列车时刻表变了。|日常生活
arrange|əˈreɪndʒ|v.|安排；整理|I will arrange a car for you.|我来为你安排一辆车。|日常生活
weather|ˈweðər|n.|天气；气象|The weather looks nice today.|今天的天气看起来不错。|日常生活
forecast|ˈfɔːrkæst|n.|预报；预测|Check the weather forecast tonight.|今晚查看天气预报。|日常生活
rainy|ˈreɪni|adj.|下雨的；多雨的|It is too rainy to go out.|雨太大，没法出去。|日常生活
sunny|ˈsʌni|adj.|晴朗的；阳光充足的|We had a sunny afternoon today.|我们今天下午阳光明媚。|日常生活
cloudy|ˈklaʊdi|adj.|多云的；阴天的|The sky turned cloudy quickly.|天空很快变阴了。|日常生活
windy|ˈwɪndi|adj.|有风的；刮风的|It's quite windy by the beach.|海边风很大。|日常生活
umbrella|ʌmˈbrelə|n.|雨伞；伞|Don't forget to take your umbrella.|别忘了带你的雨伞。|日常生活
raincoat|ˈreɪnkoʊt|n.|雨衣|She wore a raincoat in the rain.|她下雨时穿了雨衣。|日常生活
season|ˈsiːzn|n.|季节；时节|Autumn is my favorite season.|秋天是我最喜欢的季节。|日常生活
humid|ˈhjuːmɪd|adj.|潮湿的|The summer here is hot and humid.|这里的夏天又热又潮湿。|日常生活
grocery|ˈɡroʊsəri|n.|食品杂货店|I need to do grocery shopping today.|我今天需要去采购食品杂货。|日常生活
supermarket|ˈsuːpərmɑːrkɪt|n.|超市；超级市场|The supermarket closes at ten.|超市十点关门。|日常生活
vegetable|ˈvedʒtəbl|n.|蔬菜|Fresh vegetables are good for health.|新鲜蔬菜对健康有益。|日常生活
fridge|frɪdʒ|n.|冰箱|There's some milk in the fridge.|冰箱里有些牛奶。|日常生活
fruit|fruːt|n.|水果|Eating fruit every day is healthy.|每天吃水果很健康。|日常生活
snack|snæk|n.|零食；小吃|She grabbed a snack on the way.|她在路上买了点零食。|日常生活
discount|ˈdɪskaʊnt|n.|折扣；优惠|This store offers a ten percent discount.|这家店提供九折优惠。|日常生活
