environment|ɪnˈvaɪrənmənt|n.|环境；自然环境|Protecting the environment is our duty.|保护环境是我们的责任。|环境与文化
environmental|ɪnˌvaɪrənˈmentl|adj.|环境的|Environmental issues need action.|环境问题需要行动。|环境与文化
pollution|pəˈluːʃn|n.|污染|Air pollution is a serious problem.|空气污染是一个严重的问题。|环境与文化
climate|ˈklaɪmət|n.|气候|The climate is changing fast.|气候正在快速变化。|环境与文化
climate change|ˈklaɪmət tʃeɪndʒ|phr.|气候变化|Climate change affects farming.|气候变化影响农业。|环境与文化
global warming|ˈɡloʊbl ˈwɔːrmɪŋ|phr.|全球变暖|Global warming raises sea levels.|全球变暖使海平面上升。|环境与文化
global|ˈɡloʊbl|adj.|全球的|Global warming affects everyone.|全球变暖影响每一个人。|环境与文化
warming|ˈwɔːrmɪŋ|n.|变暖|Global warming is a big concern.|全球变暖是一个重大担忧。|环境与文化
greenhouse|ˈɡriːnhaʊs|n.|温室；温室气体|Greenhouse gases trap heat.|温室气体捕获热量。|环境与文化
carbon|ˈkɑːrbən|n.|碳|Carbon emissions must be reduced.|必须减少碳排放。|环境与文化
emission|ɪˈmɪʃn|n.|排放|The city cut its carbon emissions.|这座城市减少了碳排放。|环境与文化
energy|ˈenərdʒi|n.|能量；能源|Solar energy is clean and cheap.|太阳能清洁又便宜。|环境与文化
renewable|rɪˈnuːəbl|adj.|可再生的|Wind power is a renewable resource.|风能是一种可再生资源。|环境与文化
renewable energy|rɪˈnuːəbl ˈenərdʒi|phr.|可再生能源|Renewable energy is growing fast.|可再生能源发展迅速。|环境与文化
sustainable|səˈsteɪnəbl|adj.|可持续的|We need sustainable development plans.|我们需要可持续发展计划。|环境与文化
conservation|ˌkɑːnsərˈveɪʃn|n.|保护；保存|Wildlife conservation needs more funding.|野生动物保护需要更多资金。|环境与文化
conserve|kənˈsɜːrv|v.|节约；保护|Conserve water and electricity.|节约水电。|环境与文化
preserve|prɪˈzɜːrv|v.|保护；保存|We preserve old buildings here.|我们在这里保护古建筑。|环境与文化
preservation|ˌprezərˈveɪʃn|n.|保护；保存|Historic preservation is important.|历史保护很重要。|环境与文化
protect|prəˈtekt|v.|保护|We protect endangered animals.|我们保护濒危动物。|环境与文化
restore|rɪˈstɔːr|v.|恢复；修复|They restored the old bridge.|他们修复了这座古桥。|环境与文化
ecosystem|ˈiːkoʊsɪstəm|n.|生态系统|The forest is a fragile ecosystem.|森林是一个脆弱的生态系统。|环境与文化
ecological|ˌiːkəˈlɑːdʒɪkl|adj.|生态的|The ecological balance is fragile.|生态平衡很脆弱。|环境与文化
habitat|ˈhæbɪtæt|n.|栖息地|Many animals lost their habitat.|许多动物失去了栖息地。|环境与文化
species|ˈspiːʃiːz|n.|物种|This species is close to extinction.|这个物种濒临灭绝。|环境与文化
endangered|ɪnˈdeɪndʒərd|adj.|濒危的|The panda is an endangered species.|大熊猫是濒危物种。|环境与文化
extinct|ɪkˈstɪŋkt|adj.|灭绝的|The dinosaur species became extinct.|恐龙物种灭绝了。|环境与文化
extinction|ɪkˈstɪŋkʃn|n.|灭绝|The species faces extinction.|该物种面临灭绝。|环境与文化
biodiversity|ˌbaɪoʊdaɪˈvɜːrsəti|n.|生物多样性|The rainforest has amazing biodiversity.|雨林有惊人的生物多样性。|环境与文化
wildlife|ˈwaɪldlaɪf|n.|野生动物|Wildlife is protected by law.|野生动物受到法律保护。|环境与文化
wild|waɪld|adj.|野生的；荒野的|Wild flowers bloom everywhere.|野花遍地开放。|环境与文化
wilderness|ˈwɪldərnəs|n.|荒野|The wilderness is untouched.|这片荒野未受破坏。|环境与文化
forest|ˈfɔːrɪst|n.|森林|We must protect the forest.|我们必须保护森林。|环境与文化
rainforest|ˈreɪnfɔːrɪst|n.|雨林|The Amazon rainforest is vital.|亚马逊雨林至关重要。|环境与文化
ocean|ˈoʊʃn|n.|海洋|The ocean covers most of Earth.|海洋覆盖了地球的大部分。|环境与文化
glacier|ˈɡleɪʃər|n.|冰川|The glacier is melting quickly.|冰川正在快速融化。|环境与文化
melt|melt|v.|融化|Ice melts fast in summer.|冰在夏天融化得很快。|环境与文化
flood|flʌd|n.|洪水|The flood destroyed many homes.|洪水摧毁了许多房屋。|环境与文化
drought|draʊt|n.|干旱|The drought lasted for months.|干旱持续了数月。|环境与文化
desert|ˈdezərt|n.|沙漠|The desert is hot and dry.|沙漠又热又干燥。|环境与文化
natural|ˈnætʃrəl|adj.|自然的|We love natural landscapes.|我们热爱自然景观。|环境与文化
nature|ˈneɪtʃər|n.|大自然；本质|Nature gives us fresh air.|大自然给了我们新鲜空气。|环境与文化
landscape|ˈlændskeɪp|n.|风景；地形|The mountain landscape is beautiful.|山间风景很美丽。|环境与文化
scenery|ˈsiːnəri|n.|风景；景色|The scenery along the river is lovely.|沿河的景色很迷人。|环境与文化
scenic|ˈsiːnɪk|adj.|风景优美的|We took a scenic route.|我们走了一条风景优美的路线。|环境与文化
waterfall|ˈwɔːtərfɔːl|n.|瀑布|The waterfall is breathtaking.|瀑布令人惊叹。|环境与文化
island|ˈaɪlənd|n.|岛|The island has sandy beaches.|这座岛有沙滩。|环境与文化
coast|koʊst|n.|海岸；海滨|We drove along the coast.|我们沿着海岸行驶。|环境与文化
beach|biːtʃ|n.|海滩|The beach is crowded in summer.|夏天海滩很拥挤。|环境与文化
mountain|ˈmaʊntn|n.|高山|The mountain is covered with snow.|山顶覆盖着积雪。|环境与文化
hill|hɪl|n.|山丘|We climbed the green hill.|我们爬上了绿色的山丘。|环境与文化
valley|ˈvæli|n.|山谷|The valley is full of flowers.|山谷里开满了花。|环境与文化
river|ˈrɪvər|n.|河流|The river runs through the town.|河流穿过小镇。|环境与文化
lake|leɪk|n.|湖泊|The lake mirrors the sky.|湖面倒映着天空。|环境与文化
spring|sprɪŋ|n.|泉；春天|The hot spring is relaxing.|温泉令人放松。|环境与文化
cave|keɪv|n.|洞穴|The cave is dark and deep.|洞穴又黑又深。|环境与文化
canyon|ˈkænjən|n.|峡谷|The Grand Canyon is huge.|大峡谷很壮观。|环境与文化
recycle|ˌriːˈsaɪkl|v.|回收利用|We recycle paper and plastic daily.|我们每天回收纸张和塑料。|环境与文化
reuse|ˌriːˈjuːz|v.|再利用|We reuse old glass bottles.|我们重复使用旧玻璃瓶。|环境与文化
reduce|rɪˈduːs|v.|减少|Reduce waste to save energy.|减少浪费以节约能源。|环境与文化
waste|weɪst|n.|浪费；废弃物|Rubbish is a kind of waste.|垃圾是废弃物的一种。|环境与文化
garbage|ˈɡɑːrbɪdʒ|n.|垃圾|Keep garbage in the bin.|把垃圾放进桶里。|环境与文化
rubbish|ˈrʌbɪʃ|n.|垃圾|Rubbish makes the river dirty.|垃圾使河流变脏。|环境与文化
litter|ˈlɪtər|v.|乱扔|Do not litter in the park.|不要在公园乱扔垃圾。|环境与文化
dump|dʌmp|v.|倾倒；丢弃|They dump waste in the river.|他们往河里倒垃圾。|环境与文化
dispose|dɪˈspoʊz|v.|处理；处置|Dispose of waste properly.|妥善处理垃圾。|环境与文化
toxic|ˈtɑːksɪk|adj.|有毒的|Toxic smoke filled the air.|有毒烟雾弥漫空中。|环境与文化
smog|smɑːɡ|n.|雾霾|Smog covers the downtown area.|雾霾笼罩着市中心。|环境与文化
fog|fɔːɡ|n.|雾|Heavy fog delayed our flight.|大雾延误了我们的航班。|环境与文化
exhaust|ɪɡˈzɔːst|n.|废气；耗尽|Car exhaust pollutes the air.|汽车废气污染空气。|环境与文化
ozone|ˈoʊzoʊn|n.|臭氧|The ozone layer protects us.|臭氧层保护我们。|环境与文化
layer|ˈleɪər|n.|层|The outer layer is thick.|外层很厚。|环境与文化
temperature|ˈtemprətʃər|n.|温度|The temperature dropped suddenly.|温度突然下降。|环境与文化
weather|ˈweðər|n.|天气|The weather is nice today.|今天天气很好。|环境与文化
forecast|ˈfɔːrkæst|n.|预报|The forecast says rain tomorrow.|预报说明天有雨。|环境与文化
humidity|hjuːˈmɪdəti|n.|湿度|The humidity is high today.|今天湿度很高。|环境与文化
breeze|briːz|n.|微风|A cool breeze blew softly.|一阵凉风轻轻吹来。|环境与文化
typhoon|taɪˈfuːn|n.|台风|The typhoon hit the island.|台风袭击了这座岛。|环境与文化
tornado|tɔːrˈneɪdoʊ|n.|龙卷风|The tornado damaged the farm.|龙卷风毁坏了农场。|环境与文化
thunderstorm|ˈθʌndərstɔːrm|n.|雷暴|The thunderstorm lasted all night.|雷暴持续了一整夜。|环境与文化
atmosphere|ˈætməsfɪr|n.|大气；氛围|The atmosphere here is calm.|这里的气氛很平静。|环境与文化
awareness|əˈwernəs|n.|意识|Raise public awareness about recycling.|提高公众的回收意识。|环境与文化
campaign|kæmˈpeɪn|n.|运动；活动|The green campaign is working.|绿色运动正在奏效。|环境与文化
volunteer|ˌvɑːlənˈtɪr|n.|志愿者|Volunteers clean the beach.|志愿者清理海滩。|环境与文化
contribute|kənˈtrɪbjuːt|v.|促成；贡献|Cars contribute to air pollution.|汽车导致空气污染。|环境与文化
impact|ˈɪmpækt|n.|影响；冲击|Climate change has a huge impact.|气候变化影响巨大。|环境与文化
effect|ɪˈfekt|n.|影响；效果|Pollution has a bad effect on health.|污染对健康有不良影响。|环境与文化
cause|kɔːz|n.|原因；导致|Pollution causes many diseases.|污染导致许多疾病。|环境与文化
damage|ˈdæmɪdʒ|v.|损害|The storm damaged the crops.|风暴损害了庄稼。|环境与文化
destroy|dɪˈstrɔɪ|v.|破坏|Fire destroyed the ancient house.|大火摧毁了古宅。|环境与文化
harm|hɑːrm|v.|伤害|Pollution harms our health.|污染危害我们的健康。|环境与文化
threaten|ˈθretn|v.|威胁|Climate change threatens the coast.|气候变化威胁着海岸。|环境与文化
survive|sərˈvaɪv|v.|生存|Few species survive here.|很少有物种在此生存。|环境与文化
adapt|əˈdæpt|v.|适应|Animals adapt to climate change.|动物适应气候变化。|环境与文化
balance|ˈbæləns|n.|平衡|Nature keeps its own balance.|自然保持自身平衡。|环境与文化
fragile|ˈfrædʒl|adj.|脆弱的|The ecosystem is fragile here.|这里的生态系统很脆弱。|环境与文化
clean|kliːn|adj.|清洁的|We need clean air to breathe.|我们需要清洁的空气。|环境与文化
pure|pjʊr|adj.|纯净的|The mountain air is pure.|山里的空气很纯净。|环境与文化
green|ɡriːn|adj.|绿色的；环保的|Green energy is the future.|绿色能源是未来。|环境与文化
eco-friendly|ˌiːkoʊˈfrendli|adj.|环保的|This bag is eco-friendly.|这个袋子是环保的。|环境与文化
organic|ɔːrˈɡænɪk|adj.|有机的|They grow organic vegetables.|他们种植有机蔬菜。|环境与文化
resource|ˈriːsɔːrs|n.|资源|Water is a precious resource.|水是一种珍贵的资源。|环境与文化
erosion|ɪˈroʊʒn|n.|侵蚀|Soil erosion harms farmland.|土壤侵蚀损害农田。|环境与文化
reserve|rɪˈzɜːrv|n.|保护区；保留|The nature reserve is peaceful.|自然保护区很宁静。|环境与文化
culture|ˈkʌltʃər|n.|文化|Chinese culture is very rich.|中国文化非常丰富。|环境与文化
cultural|ˈkʌltʃərəl|adj.|文化的|This is a cultural heritage site.|这是一个文化遗产地。|环境与文化
heritage|ˈherɪtɪdʒ|n.|遗产|The city has rich heritage.|这座城市有丰富的遗产。|环境与文化
tradition|trəˈdɪʃn|n.|传统|Each festival has its tradition.|每个节日都有其传统。|环境与文化
traditional|trəˈdɪʃənl|adj.|传统的|We wear traditional clothes.|我们穿传统服装。|环境与文化
custom|ˈkʌstəm|n.|习俗；风俗|Local customs are interesting.|当地习俗很有趣。|环境与文化
festival|ˈfestɪvl|n.|节日|The spring festival is coming.|春节就要到了。|环境与文化
ceremony|ˈserəmoʊni|n.|仪式；典礼|The wedding ceremony was grand.|婚礼仪式很盛大。|环境与文化
ritual|ˈrɪtʃuəl|n.|仪式；典礼|The ritual happens every spring.|这个仪式每年春天举行。|环境与文化
legend|ˈledʒənd|n.|传说|The legend tells an old story.|传说讲述了一个古老的故事。|环境与文化
myth|mɪθ|n.|神话|The Greek myth is popular.|希腊神话很流行。|环境与文化
folklore|ˈfoʊklɔːr|n.|民间传说|Folklore keeps history alive.|民间传说让历史鲜活。|环境与文化
ancestor|ˈænsestər|n.|祖先|We honor our ancestors.|我们敬重先人。|环境与文化
descendant|dɪˈsendənt|n.|后代|The descendants kept the land.|后代保住了这片土地。|环境与文化
religion|rɪˈlɪdʒən|n.|宗教|Religion shapes many customs.|宗教塑造了许多习俗。|环境与文化
belief|bɪˈliːf|n.|信仰；信念|Their belief is very strong.|他们的信仰非常坚定。|环境与文化
art|ɑːrt|n.|艺术|Art shows our feelings.|艺术展现我们的情感。|环境与文化
artist|ˈɑːrtɪst|n.|艺术家|The artist paints the town.|这位艺术家描绘这座小镇。|环境与文化
museum|mjuˈziːəm|n.|博物馆|The museum opens at nine.|博物馆九点开门。|环境与文化
